teacher,budget,rep,policy_acc,sequence_acc,survivors
transformer,12,18,0.9583333333333334,0.875,22
transformer,12,19,0.875,0.625,22
transformer,12,20,0.7916666666666666,0.375,24
transformer,12,21,0.7916666666666666,0.5,20
transformer,12,22,0.8333333333333334,0.5,18
transformer,12,23,0.9583333333333334,0.875,21
transformer,12,24,0.9583333333333334,0.875,16
transformer,12,25,0.7916666666666666,0.375,22
transformer,12,26,0.9166666666666666,0.75,23
transformer,12,27,0.875,0.625,22
transformer,12,28,0.9166666666666666,0.75,21
transformer,12,29,0.875,0.625,22
transformer,12,30,0.9583333333333334,0.875,19
transformer,12,31,0.9583333333333334,0.875,18
transformer,12,32,0.875,0.625,22
transformer,12,33,0.9166666666666666,0.875,26
transformer,12,34,0.9166666666666666,0.75,23
transformer,12,35,0.9583333333333334,0.875,21
transformer,12,36,0.9583333333333334,0.875,21
transformer,12,37,0.8333333333333334,0.5,22
transformer,12,38,0.9166666666666666,0.75,23
transformer,12,39,1.0,1.0,14
transformer,16,0,1.0,1.0,2
transformer,16,1,1.0,1.0,2
transformer,16,2,1.0,1.0,2
transformer,16,3,1.0,1.0,2
transformer,16,4,1.0,1.0,2
transformer,16,5,1.0,1.0,2
transformer,16,6,1.0,1.0,2
transformer,16,7,1.0,1.0,2
transformer,16,8,1.0,1.0,2
transformer,16,9,1.0,1.0,2
transformer,16,10,1.0,1.0,2
transformer,16,11,1.0,1.0,2
transformer,16,12,1.0,1.0,2
transformer,16,13,1.0,1.0,2
transformer,16,14,1.0,1.0,2
transformer,16,15,1.0,1.0,2
transformer,16,16,1.0,1.0,2
transformer,16,17,1.0,1.0,2
transformer,16,18,1.0,1.0,3
transformer,16,19,1.0,1.0,2
transformer,16,20,1.0,1.0,2
transformer,16,21,1.0,1.0,2
transformer,16,22,1.0,1.0,2
transformer,16,23,1.0,1.0,2
transformer,16,24,1.0,1.0,2
transformer,16,25,1.0,1.0,2
transformer,16,26,1.0,1.0,2
transformer,16,27,1.0,1.0,2
transformer,16,28,1.0,1.0,2
transformer,16,29,1.0,1.0,2
transformer,16,30,1.0,1.0,2
transformer,16,31,1.0,1.0,2
transformer,16,32,1.0,1.0,2
transformer,16,33,1.0,1.0,3
transformer,16,34,1.0,1.0,2
transformer,16,35,1.0,1.0,2
transformer,16,36,1.0,1.0,2
transformer,16,37,1.0,1.0,2
transformer,16,38,1.0,1.0,2
transformer,16,39,1.0,1.0,2
