teacher,budget,rep,policy_acc,sequence_acc,alive_swaps,candidate_edges
transformer,10,14,0.8333333333333334,0.625,2,68
transformer,10,15,0.875,0.75,1,35
transformer,10,16,0.7916666666666666,0.5,2,68
transformer,10,17,0.7916666666666666,0.625,2,68
transformer,10,18,0.7916666666666666,0.625,2,64
transformer,10,19,0.7083333333333334,0.5,2,60
transformer,10,20,0.7916666666666666,0.5,2,64
transformer,10,21,0.7916666666666666,0.5,2,64
transformer,10,22,0.75,0.5,2,64
transformer,10,23,0.7916666666666666,0.625,2,68
transformer,10,24,0.875,0.625,2,68
transformer,10,25,0.7916666666666666,0.5,2,68
transformer,10,26,0.875,0.625,2,68
transformer,10,27,0.7916666666666666,0.625,2,68
transformer,10,28,0.8333333333333334,0.625,2,68
transformer,10,29,0.875,0.625,2,64
transformer,10,30,0.9166666666666666,0.75,2,64
transformer,10,31,0.8333333333333334,0.625,2,64
transformer,10,32,0.8333333333333334,0.625,2,68
transformer,10,33,0.875,0.625,2,60
transformer,10,34,0.875,0.625,2,68
transformer,10,35,0.8333333333333334,0.625,2,64
transformer,10,36,0.75,0.5,2,68
transformer,10,37,0.7916666666666666,0.5,2,68
transformer,10,38,0.875,0.625,2,68
transformer,10,39,0.7916666666666666,0.625,2,64
transformer,10,40,0.8333333333333334,0.625,2,64
transformer,10,41,0.75,0.375,2,64
transformer,10,42,0.875,0.75,2,64
transformer,10,43,0.7916666666666666,0.5,2,68
transformer,10,44,0.8333333333333334,0.625,2,68
transformer,10,45,0.7916666666666666,0.625,2,68
transformer,10,46,0.7916666666666666,0.625,2,68
transformer,10,47,0.7916666666666666,0.625,2,64
transformer,10,48,0.8333333333333334,0.625,2,64
transformer,10,49,0.875,0.75,1,39
transformer,10,50,0.7916666666666666,0.5,2,68
transformer,10,51,0.7916666666666666,0.625,2,64
transformer,10,52,0.7916666666666666,0.625,2,68
transformer,10,53,0.875,0.625,2,64
transformer,10,54,0.7083333333333334,0.375,2,68
transformer,10,55,0.7083333333333334,0.5,2,64
transformer,10,56,0.8333333333333334,0.625,2,64
transformer,10,57,0.7916666666666666,0.5,2,64
transformer,10,58,0.875,0.75,2,64
transformer,10,59,0.7916666666666666,0.625,2,68
transformer,10,60,0.8333333333333334,0.625,2,68
transformer,10,61,0.7916666666666666,0.5,2,68
transformer,10,62,0.7916666666666666,0.5,2,68
transformer,10,63,0.7916666666666666,0.5,2,64
transformer,10,64,0.75,0.375,2,64
transformer,10,65,0.875,0.625,2,68
transformer,10,66,0.7916666666666666,0.625,2,68
transformer,10,67,0.7083333333333334,0.375,2,68
transformer,10,68,0.7916666666666666,0.625,2,68
transformer,10,69,0.875,0.625,2,64
transformer,10,70,0.7916666666666666,0.625,2,68
transformer,10,71,0.7916666666666666,0.5,2,68
transformer,10,72,0.875,0.625,2,68
transformer,10,73,0.75,0.5,2,64
transformer,10,74,0.875,0.75,2,64
transformer,10,75,0.7916666666666666,0.625,2,64
transformer,10,76,0.7916666666666666,0.5,2,68
transformer,10,77,0.7916666666666666,0.625,2,68
transformer,10,78,0.7916666666666666,0.625,2,68
transformer,10,79,0.7916666666666666,0.625,2,64
transformer,10,80,0.7916666666666666,0.5,2,68
transformer,10,81,0.7916666666666666,0.5,2,68
transformer,10,82,0.7916666666666666,0.5,2,68
transformer,10,83,0.875,0.75,1,36
transformer,10,84,0.7916666666666666,0.625,2,64
transformer,10,85,0.7916666666666666,0.5,2,64
transformer,10,86,0.8333333333333334,0.625,2,64
transformer,10,87,0.875,0.625,2,68
transformer,10,88,0.8333333333333334,0.625,2,68
transformer,10,89,0.7916666666666666,0.625,2,68
transformer,10,90,0.875,0.625,2,68
transformer,10,91,0.75,0.5,2,64
transformer,10,92,0.7916666666666666,0.5,2,68
transformer,10,93,0.7916666666666666,0.625,2,64
transformer,10,94,0.8333333333333334,0.5,2,64
transformer,10,95,0.875,0.625,2,64
transformer,10,96,0.7916666666666666,0.5,2,68
transformer,10,97,0.875,0.625,2,64
transformer,10,98,0.7916666666666666,0.625,2,64
transformer,10,99,0.8333333333333334,0.625,1,35
transformer,12,0,0.7916666666666666,0.5,2,52
transformer,12,1,0.875,0.625,2,52
transformer,12,2,0.9583333333333334,0.875,1,29
transformer,12,3,0.7916666666666666,0.5,2,52
transformer,12,4,0.9166666666666666,0.75,2,52
transformer,12,5,0.9166666666666666,0.875,1,27
transformer,12,6,0.8333333333333334,0.5,2,52
transformer,12,7,0.875,0.625,2,52
transformer,12,8,0.9166666666666666,0.75,2,48
transformer,12,9,0.875,0.75,2,56
transformer,12,10,0.9583333333333334,0.875,1,26
transformer,12,11,0.8333333333333334,0.625,2,52
transformer,12,12,0.7916666666666666,0.625,2,52
transformer,12,13,0.9166666666666666,0.75,2,52
transformer,12,14,0.9583333333333334,0.875,1,29
transformer,12,15,0.875,0.625,2,52
transformer,12,16,0.8333333333333334,0.5,2,52
transformer,12,17,0.7916666666666666,0.625,2,56
transformer,12,18,0.9166666666666666,0.75,2,52
transformer,12,19,0.9166666666666666,0.75,1,31
transformer,12,20,0.9583333333333334,0.875,1,24
transformer,12,21,0.875,0.625,2,52
transformer,12,22,0.875,0.625,2,56
transformer,12,23,0.7916666666666666,0.625,2,52
transformer,12,24,0.875,0.625,2,52
transformer,12,25,0.9166666666666666,0.75,2,52
transformer,12,26,1.0,1.0,1,27
transformer,12,27,0.7916666666666666,0.625,1,24
transformer,12,28,0.9166666666666666,0.75,1,28
transformer,12,29,0.9166666666666666,0.75,1,29
transformer,12,30,0.9166666666666666,0.75,1,30
transformer,12,31,0.9166666666666666,0.75,2,56
transformer,12,32,0.75,0.625,2,52
transformer,12,33,0.875,0.625,2,52
transformer,12,34,0.875,0.75,2,52
transformer,12,35,0.9166666666666666,0.75,1,30
transformer,12,36,0.8333333333333334,0.625,2,56
transformer,12,37,0.8333333333333334,0.625,2,52
transformer,12,38,0.875,0.625,2,48
transformer,12,39,0.9166666666666666,0.75,1,24
transformer,12,40,0.875,0.625,2,48
transformer,12,41,0.9583333333333334,0.875,1,29
transformer,12,42,0.8333333333333334,0.625,2,52
transformer,12,43,0.875,0.625,2,52
transformer,12,44,0.8333333333333334,0.75,1,33
transformer,12,45,0.875,0.625,1,24
transformer,12,46,0.9166666666666666,0.875,1,31
transformer,12,47,0.7916666666666666,0.625,2,52
transformer,12,48,0.7916666666666666,0.5,2,56
transformer,12,49,0.875,0.75,2,52
transformer,12,50,0.9166666666666666,0.75,1,26
transformer,12,51,0.8333333333333334,0.625,2,48
transformer,12,52,0.8333333333333334,0.625,2,52
transformer,12,53,0.7916666666666666,0.625,1,24
transformer,12,54,0.9583333333333334,0.875,1,29
transformer,12,55,0.9166666666666666,0.75,2,48
transformer,12,56,0.875,0.625,1,24
transformer,12,57,1.0,1.0,1,31
transformer,12,58,0.8333333333333334,0.625,2,52
transformer,12,59,0.9166666666666666,0.75,2,48
transformer,12,60,0.8333333333333334,0.5,1,30
transformer,12,61,0.9166666666666666,0.875,1,27
transformer,12,62,0.9583333333333334,0.875,1,28
transformer,12,63,0.7916666666666666,0.5,1,24
transformer,12,64,0.875,0.625,2,52
transformer,12,65,0.9166666666666666,0.75,2,52
transformer,12,66,0.7916666666666666,0.625,2,52
transformer,12,67,0.9166666666666666,0.75,1,29
transformer,12,68,0.9583333333333334,0.875,1,26
transformer,12,69,0.875,0.75,1,29
transformer,12,70,0.9166666666666666,0.75,2,52
transformer,12,71,0.7916666666666666,0.625,2,52
transformer,12,72,0.875,0.625,2,52
transformer,12,73,0.7916666666666666,0.5,1,24
transformer,12,74,0.875,0.625,2,52
